index,premise,hypothesis,label
5647,"남북의 화해와 평화가 전 세계에 희망으로 전해질 때, 호국영령들의 숭고한 희생에 진정으로 보답하게 될 것이라 믿습니다.",호국영령들의 숭고한 희생에 진정으로 보답하게 될 때는 남북의 화해와 평화가 전 세계에 희망으로 퍼질 때라고 믿습니다.,entailment
5648,5월은 국세인 종합소득세와 지방세인 개인 지방소득세를 신고하고 납부하는 달이다.,종합소득세와 개인 지방소득세를 신고하는 달은 다르다.,contradiction
5649,한국영화중에 그나마 잘 만든 영화라고 생각합니다.,잘 만든 한국 영화 중 하나입니다.,entailment
5650,"당시 바그너는 스위스 루체른의 교외에 있는 트리프센에 거주하면서 작곡과 논문을 집필하는 데 전념하였고, 가끔 뮌헨으로 건너가 상연 지휘를 맡았다.",루체른은 독일에 있는 곳이다.,contradiction
5651,노래만 바뀐 채 김동현 씨 하이라이트가 재생되자 멤버들은 웃음을 참지 못했다.,김동현씨의 하이라이트는 30분 동안 재생되었다.,neutral
5652,후반부를 느끼기에 초중반부는 너무 건조하잖아.,초중반부까지는 건조하잖아.,entailment
5653,"한편 이 훈련은 80년대까지 시행되다가 남북관계가 개선되던 90년대에 중단되었고, 올해 다시 시작된 것으로 알려졌습니다.",이 훈련은 90년대에 중단되었다.,entailment
5654,반면 보수측은 김영오씨가 세월호 사고 다음날 박근혜 대통령에게 막말을 했다며 비난했습니다.,진보측만이 김영오씨가 대통령에게 막말을 했다며 비난했다.,contradiction
5655,농어촌 공중목욕장 지원사업은 공중목욕장이 없는 면단위 농어촌지역을 대상으로 어르신의 건강 증진과 삶의 질을 높이기 위해 도입됐다.,공중목욕장이 없는 면단위 농어촌지역에 한하여 공중목욕장 지원사업이 도입되었다.,entailment
5656,"시게이르는 늑대인간인 자기 어머니에게 매일 밤마다 시그문드 형제를 한 명씩 잡아먹게 했고, 결국 시그문드 혼자만 남았다.",시그문드는 시게이르의 어머니에게 잡아먹혔다.,contradiction
5657,액션 하나 건져올릴 만한 흔하고 뻔한 영화,흔하지 않은 독특한 영화.,contradiction
5658,"날씨가 쌀쌀해져 전력 수요가 급증하는 가운데, 고리 원자력발전소 1호기와 한빛 원자력발전소 4호기가 고장나 전력 수급이 불안정할 전망이다.",겨울이 다가오는만큼 전력 수요가 증가하는데 모든 원자력발전소가 정상 작동해서 전력 수급은 완벽하게 될 예정이다.,contradiction
5659,계약의 당사자가 상호 간에 대가적인 의의를 갖는 채무를 부담하는 계약이 쌍무계약이며 그렇지 않은 계약이 편무계약이다.,쌍무계약 당사자와 편무계약 당사자의 책임 수준은 다르다.,entailment
5660,"1990년생으로 올해 만 28살이 된 배우 한지성 씨는 2010년 걸그룹 비돌스로 데뷔해 최근까지 드라마, 영화 등에서 활발히 활동해왔다.",배우 한지성 씨는 1990년에 출생하였다.,entailment
5661,에어비엔비 숙소중에서 최고의 숙소였어요.,이 숙소는 단점이 하나도 없었어요.,neutral
5662,중학생인 영우는 축구를 하다 날아온 공에 맞아 실명한다.,영우는 시각장애를 위한 특수 교육을 받게된다.,neutral
5663,세비야 중심지에 주차 된다는 장점이 있습니다.,세비야 중심지에 주차할 수 있습니다.,entailment
5664,갑수형님 때문에 무슨 영화인지 궁금했어요,갑수 형님으로 인해 궁금해진 작품이었어요.,entailment
5665,현행 여객자동차법령상 원칙적으로 택시의 근무교대는 차고지에서 하도록 규정하고 있다.,택시의 근무교대는 원칙적으로 차고지에서 하도록 현행 여객자동차법령에서 규정하고 있다.,entailment
5666,한국과 미국이 600억 달러 규모의 통화스와프 계약 기간을 6개월 연장하기로 했다.,한국과 미국은 통화스와프 계약이 이미 되어있었다.,entailment
5667,"우리가 목표를 세우고 역량을 결집하면, 의존형 경제에서 벗어날 수 있다는 자신감을 갖게 된 것은 무엇과도 바꿀 수 없는 소중한 경험입니다.",우리가 노력해도 의존형 경제에서 벗어날 수 없다는 현실을 깨닫게 되었습니다.,contradiction
5668,"이준석 선장은 오늘 청해진해운 임원에 대한 재판에서 남탓만 했고, 야당은 장외투쟁에서 봉변만 당했습니다.",야당은 장외투쟁에서 봉변을 당했다.,entailment
5669,이와 함께 중소기업 계약학과를 통해 인공지능 분석이 가능한 전문인력을 양성하는 등 인공지능 제조인력을 1만 5000명 추가로 양성한다.,중소기업 계약학과를 통해서 인공지능 분석이 가능한 전문인력을 양성하는 데 실패했다.,contradiction
5670,"그 후, 시몽은 자신이 의도한 대로 권력을 독차지하게 되었으나 헨리 3세의 아들 에드워드가시몽의 반대 세력과 연합하여 군사를 일으켜 전쟁을 벌였다.",시몽은 전쟁에서 승리하였다.,neutral
5671,내용은 넘식상한 멜로였지만 손예진 최고이뻣음,손예진 진짜 이뻤음.,entailment
5672,"세월호 침몰의 진상을 규명하겠다며 여야가 야심차게 열었는데, 지금은 아무런 성과 없이 막을 내리게 생겼습니다.",세월호 침몰의 진상 규명에 대한 아무런 성과없이 막을 내리게 생겼습니다.,entailment
5673,인천 중구가 정확하고 안전한 도로교통 환경 조성에 박차를 가하고 있다.,인천 중구는 안전한 도로교통 환경 조성을 위해 노력하고 있다.,entailment
5674,두산은 26일 오후 2시 잠실구장에서 열리는 한화와의 홈경기에서 승리기원 시구 행사를 진행한다.,26일 경기에서 승리한 팀은 두산이다.,neutral
5675,"민주당 지도부는 남해안신성장관광벨트 조성, 산업위기지역 지정 연장, 한전공대 설립 등 전남 현안사업을 적극 지원하겠다고 약속했다.",민주당 지도부는 전남 현안사업에 물질적 지원을 아끼지 않겠다고 약속했다.,entailment
5676,동네가 새벽에 걸어다니기에도 안전했구요.,낮에 걸어다니기에도 안전했어요.,neutral
5677,미국의 주택을 경험할 수 있는 점이 좋아요,미국의 주택과 유사한 구조를 가지고 있어요.,neutral
5678,"김정남은 김정일과 그의 본처 성혜림 사이의 아들로, 1971년 5월 10일에 출생했다.",김정남은 출생 당시 우량아로 태어났다.,neutral
5679,공업지역은 산업단지와 달리 정책적 지원없이 용도지역으로만 관리돼 기존 산업의 활력 저하와 신흥산업 투자기피 등의 문제가 발생해 왔다.,공업지역은 산업단지와 똑같이 정책적 지원을 받았다.,contradiction
5680,그러나 국어학회가 단순히 최신 이론을 받아들여 이를 소개하고 한국어에 단순히 적용한 연구를 한 것은 아니다.,국어학회가 단순히 최신 이론을 수용하여 이를 소개하고 한국어에 단순히 적용한 연구를 한 것은 아니다.,entailment
5681,기억에 남는 영화를 물으면 생각나는 영화,기억에서 완전히 사라진 영화.,contradiction
5682,"미세먼지 차단 숲, 생활밀착형 숲, 자녀안심 그린 숲 등 도심 녹지를 조성한다.","미세먼지 차단 숲, 생활밀착형 숲, 자녀안심 그린 숲 등 도심 녹지를 조성하지 않는다.",contradiction
5683,뻔하디 뻔한 줄거리에 그냥 그런 영화.,줄거리도 뻔하도 반전도 뻔한 영화여다.,neutral
5684,"첫날인 1일에는 문성혁 해양수산부 장관, 이정옥 여성가족부 장관이, 2일에는 홍남기 경제부총리와 박영선 중기부 장관이 출연한다.",경제부총리는 출연하지 않는다.,contradiction
5685,"경기가 팽팽한 균형을 이룬 가운데 양 팀 모두 결정적인 기회를 잡았으나, 양 팀 모두 기회를 살리지 못하며 경기는 연장전에 들어갔다.",경기는 한 팀의 압도적인 승리로 끝났다.,contradiction
5686,히말라야의 바람은 감독의 머리속에서만 머문다,히말라야의 바람은 감독의 머리 안에서만 머문다.,entailment
5687,세텐자는 남부 동맹의 군자금 20만 달러가 빼돌려졌다는 정보를 입수하게 된다.,세텐자는 군자금에 대한 어떠한 소식도 모른다.,contradiction
5688,머코프사의 프로그래머인 웨일런 파크는 월라이더 프로젝트에 참여하게 된다.,윌라이더 프로젝트에 프로그래머는 참여할 수 없다.,contradiction
5689,짜임새와 스토리가 너무 괜찮은작품같다.,작품의 내용이 좋다고 생각한다.,entailment
5690,조선민주주의인민공화국측은 발사대에 1단 추진체를 발사대에 설치하는 등의 발사작업을 진행하고 있는 것으로 알려졌다.,북한이 발사작업을 진행하는 것은 이번이 3번째이다.,neutral
5691,우선 김태우 나오는 영화는 피하고 본다.,피하고 보는 영화 중에는 김태우가 출연하는 영화도 있다.,entailment
5692,"야당은 3자협의체 제안을 오늘까지 받으라면서, 받지 않으면 대여투쟁에 나서겠다는 입장이고, 여당은 변한게 없습니다.",야당은 어떠한 입장 표명도 하지 않았습니다.,contradiction
5693,때문에 대인관계를 형성하기 위해 친목 모임이나 취미 활동에 적극 참여할 필요가 있다.,대인관계 형성에 친목 모임이나 취미 활동은 상관 없다.,contradiction
5694,"숙소 위치, 시설 및 청결도 매우 좋았습니다.",숙소 주변도 청결했습니다.,neutral
5695,숙소 내부는 사진과 같고 테라스도 훌륭합니다.,테라스가 있습니다.,entailment
5696,손목밴드를 분실한 경우에는 출입구에서 다시 받아야 해수욕장을 이용할 수 있다.,출입구에서 천원에 손목밴드를 재공급한다.,neutral
5697,차없이 움직이는데도 불편함이 없었습니다.,걸어서도 불편함 없이 움직일 수 있습니다.,entailment
5698,테넌트씨 말고도 다른분들도 연기짱 내용짱,테넌트 씨의 연기 최고.,entailment
5699,독일은 2차 대전을 일으켜 수천만 명을 죽였는데 그 전범을 처벌한 뉘른베르크 재판에서 기소된 사람은 22명이다.,전범으로 기소된 22명은 모두 사형에 처해졌다.,neutral
5700,기분이 울적해질 때마다 찾게되는 영화.,기분이 울적해지면 보게되는 영화.,entailment
5701,호스트는 내가만난 호스트중에서 가장 최고였다.,호스트 중에서는 내 마음에 가장 들었다.,entailment
5702,이에 따라 울산해경이 보상금 과다 수령 사례 등에 대한 내사에 착수했다.,이에 따라 울산해경은 보상금 과다 수령 사례 등에 대한 내부 조사에 착수했다.,entailment
5703,매장 앞을 지나가던 어린이들도 무료임을 아는지 그냥 들러 과자를 한 웅큼 씩 쥐어간다.,어른들도 무료임을 알고있다.,neutral
5704,관광회사는 누구나 신청하면 낚시를 할 수 있게 됐다고 했습니다.,관광회사가 누구든지 신청하더라도 낚시는 불가능하다고 했습니다.,contradiction
5705,"현지 시각 5월12일, 적십자 국제 위원회는 정부 당국의 웹사이트를 통하여 2017년 제 46회 나이팅게일 상을 받을 사람들의 명단을 선포하였다.",정부가 제 46회 나이팅게일 상 수상자 명단을 발표하였다.,contradiction
5706,일드 별로 안좋아하지만 이것만은 적극추천해요,일드 엄청 좋아해서 이건 적극 추천해요.,contradiction
5707,이로서 앞으로는 동일한 비위행위라도 실무직 공무원보다 고위직 공무원이 더 엄중한 징계처분을 받게 된다.,실무직 공무원들보다 고위직 공모원들이 비위행위와 관련된 범죄률이 더 높다.,neutral
5708,물론 자녀를 키워본 적이 없는 커스버트 남매로서는 앤을 키우는 게 쉽지 않았다.,커스버트는 앤을 보육원에 맡기려고 한다.,neutral
5709,윤태호 중앙사고수습본부 방역총괄반장이 중앙재난안전대책본부 정례브리핑을 하고 있다.,윤태호 중앙사고수습본부 방역총괄반장은 중앙재난안전대책본부 정례브리핑을 맡고 있는 책임자이다.,neutral
5710,경험했던 게스트하우스들 중에서 가장 좋았습니다.,최고로 만족스러웠던 게스트하우스였습니다.,entailment
5711,다만 한가지 아쉬운 점은 방이 약간 추웠어요.,방이 추워서 잠을 못잤어요.,neutral
5712,"전구가 약간 어둡고, 수압이 살짝 약합니다.",수압이 엄청 셉니다.,contradiction
5713,이에 따라 2009년 11월 있었던 8일간의 파업의 악몽이 재현되는 것이 아니냐는 우려가 고개를 들고 있다.,2009년 11월 있었던 파업의 악몽은 절대 재현될리 없다고 다들 안심했다.,contradiction
5714,서터의 누나네 식구와의 저녁 식사에 합석하게 된 에이미는 장래 희망과 결혼생활에 대한 낙관적인 꿈을 이야기한다.,에이미는 장래희망에 대해 이야기한다.,entailment
5715,이 자리에서 최연혜 대표는 현재 공석으로 남아 있는 대전 서구을 당협위원장 자리를 부탁한 것으로 전해졌다.,최연혜 대표는 아무것도 부탁하지 않았다.,contradiction
5716,빅토리아 여왕은 1837년에 즉위했으므로 60주년인 해는 1897년이다.,빅토리아 여왕은 1837년에 즉위했다.,entailment
5717,수상버스 정류장과 아카데미아 다리가 가깝습니다,수상버스 정류장은 멀리 있습니다.,contradiction
5718,천재적인 모던아트의 잭슨폴록을 가장 사실잇게 표현한영화,모던아트의 천재인 잭슨 폴록이 잘 드러난 영화.,entailment
5719,지나가는 관광객들에게도 극찬을받을정도로 전체적인 인테리어가 훌륭하다,어린아이도 좋아하는 인테리어이다.,neutral
5720,즉 심각한 수준의 중증 환자를 제외하고 기존 치료제나 휴식만으로도 충분이 치료가 가능하단 소리다.,휴식만으로 심각한 수준의 중증 환자도 충분히 치료될 수 있다.,contradiction
5721,"다만 일부 고위험시설에는 마스크 착용, 전자출입명부 작성 등 핵심 방역수칙 준수 의무화 행정명령이 내려진다.",고위험시설 중 일정 인원 이상이 이용하는 시설에는 핵심 방역수칙 준수 의무화 행정명령이 내려진다.,neutral
5722,볼만한 장면도 있지만 너무 막 간다.,볼만한 장면이 있긴하다.,entailment
5723,흥미로운 소재지만 정작 영화 자체는 금방 잊혀질 영화.,흥미로운 소재를 다룬 영화.,entailment
5724,시차로 인해 실시간 시청이 어려운 지역을 위해 당일 오후 11시에 웹세미나를 재방송하고 강연 및 현장질의 영상을 향후 총괄 전담팀 통합게시판에 게재할 예정이다.,총괄 전담팀 통합게시판의 게시글은 누구나 읽을 수 있다.,neutral
5725,간호사인 엄마와 소방관인 아빠 사이에서 사랑받으며 자라던 아들 존은 1969년 10월 12일 브룩스톤 화재로 소방관이던 아버지를 잃게 된다.,간호사인 존의 어머니는 아들 존을 사랑하게 된다.,neutral
5726,소방의 독립 청 설립 이후 소방공무원의 신분은 국가직화가 이뤄졌지만 전국 지자체별 소방 서비스의 균등화 문제가 말끔히 해소된 건 아니다.,소방공무원의 신분만 공무원으로 바뀌었지 다른 부분은 그대로다.,neutral
5727,"베트남, 필리핀 등에 진출거점도 신설, 공급망이 외부 충격에 흔들리지 않도록 공급망 다변화 품목 데이터베이스를 구축키로 했다.",베트남과 필리핀은 공급망이 외부 충격에 흔들리지 않는 시장이다.,contradiction
5728,에스더의 매력에 이끌린 부부는 에스더를 입양하기로 결심했고 이후 그녀는 부부의 장남 다니엘과 청각장애를 가진 막내딸 멕스 사이의 둘째 딸이 됐다.,부부사이에는 자녀가 없었다.,contradiction
5729,한국분들 참고하시라고 한국어 후기로 남깁니다,영어 후기로 남기지 않습니다.,neutral
5730,돌아가신 아버지의 막대한 유산을 받게 된 세라는 예전의 신분을 되찾고 늘 함께 있어 준 베키와 함께 인도로 돌아간다.,세라의 예전 신분은 고위층 귀공녀였다.,neutral
5731,시작부터 끝까지 하나도 재미 없었다.,시작부터 끝까지 전부 다 재밌었다.,contradiction
5732,이제 국회가 통과한 추경안을 신속하게 집행하는 일이 중요합니다.,이제부터 국회가 통과한 추경안을 빠르게 집행하는 게 중요합니다.,entailment
5733,"벨기에에서는 75명, 덴마크 80명, 룩셈부르크 68명, 네덜란드 204명, 노르웨이 80명이 재판에 회부됐다.",총 507명이 재판에 회부됐다.,entailment
5734,정려원나오는영화 흥행한거 하나도 없음.,정려원이나오는 영화는 크게 흥행함.,contradiction
5735,이외 전년도 미납분에 대한 이월납입도 허용하고 세제지원 적용기한을 폐지하고 항구적으로 세제지원을 받게된다.,이월납입이 전년도 미납분에 대해 허용된다.,entailment
5736,"이를 위해 정부의 혁신성장 정책에 빠르게 대응해 새로운 먹거리를 창출하고, 창업 기업을 적극 발굴해 지원하는 방안 등을 모색할 방침이다.",특히 창업 기업을 발굴하는데 많은 자원을 쏟을 예정이다.,neutral
5737,아직까지 영화 안보신 분들을 위해 강력히 비추합니다.,영화를 아직 시청하지 않은 사람들에게 추천하지 않습니다.,entailment
5738,체리향기로 인해 죽음에서 인생의 아름다움을 느낀 그 순간.,체리향기는 어릴적 기억이 되살아나게 했다.,neutral
5739,새넌의 재섭는 행동들이 시리즈 만큼이나 유명했었다,시리즈는 알려지지 않았다.,contradiction
5740,디자이너 앙드레 김씨가 12일 오후 7시25분 서울대병원 중환자실에서 숙환으로 별세했다.,서울대병원 중환자실에서 사망한 디자이너가 있다.,entailment
5741,이에 따라 육군은 김 일병이 자살했을 가능성도 염두에 두고 수사 중인 것으로 알려졌다.,김 일병은 자살했다.,neutral
5742,오후 2시경까지 최루액인 캡사이신을 맞은 노조원 및 통합진보당 의원 5명 등 총 약 120명이 연행된 상태다.,최루액을 맞은 인원은 아무도 연행되지 않았다.,contradiction
5743,빙 제독과 그가 지휘하는 소규모 함대는 섬에서부터 도망쳐 온 미노르카 함대와 합류하였다.,미노르카 함대는 섬에서 두달 만에 도망쳤다.,neutral
5744,18세 미만 부모 및 자녀들이 자유롭게 이용할 수 있는 시설이다.,18세 미만 부모 및 자녀들은 이용이 불가능한 시설이다.,contradiction
5745,여태 가 본 유럽의 숙소 중 최고입니다.,이전까지 가 본 유럽의 숙소 중 최악입니다.,contradiction
5746,도보로는 약국이나 편의점을 가기 힘들어요,약국은 걸어서 왕복 1시간 거리에요.,neutral
5747,코레일 사장 최연혜가 새누리당 지도부에 인사청탁을 했다는 사실이 알려져 논란이 되고 있다.,인사청탁을 했다는 사실이 알려져 논란인 되는 자는 코레일 사장이다.,entailment
5748,멜 깁슨 영화 중 가장 좋아하는 영화,멜 깁슨 영화는 다 좋다.,neutral
5749,"어제 코레일은 철도노조가 불법 파업을 했다며 파업에 가담한 노동자 4,365명을 전원 직위 해제했다.","코레일은 파업에 가담한 노동자 4,365명을 전원 감봉조치했다.",contradiction
5750,"물품 보관 기간은 48시간이며, 초과 시 매 24시간마다 1천원 이용료가 부과되며, 주문자는 택배함에서 본인인증 비밀번호를 입력하고 물품을 수령하면 된다.",물품 보관 기간은 24시간이다.,contradiction
5751,"이와 동시에, 이러한 학교폭력 가해여부를 기재하는 문제로 대입을 앞둔 이 때에 교육혼란을 가중하지 않게 하는 것이 중요하다고 밝혔다.",대입을 앞두고 있다.,entailment
5752,그리고 호스트 분들이 정말 친절하고 좋으셨어요,호스트분이 나쁘지 않았어요.,entailment
5753,제가 머물렀던 방의 테라스 경치가 매우 좋았어요,좋은 경치를 테라스에서 볼수 있었어요.,entailment
5754,"또한, 요즘 대두되고 있는 귀농귀촌인과 원주민 사이에 발생할 수 있는 갈등을 원활하게 해소하는 방법도 교육 과정에 포함됐다.",귀농귀촌인과 원주민 사이에 발생하는 갈등의 빈도가 점차 늘어나고 있다.,neutral
5755,"한편, 자세한 공고사항은 과기정통부, 한국산업기술진흥협회 홈페이지에서 상세 내용을 확인할 수 있다.",자세한 공고사항은 어디에서도 확인이 불가능하다.,contradiction
5756,"재활운동교실을 통해 지속적인 재활서비스를 받길 원하는 뇌병변, 지체 장애인은 숭의보건지소 재활치료실로 문의하면 된다.","뇌병변, 지체 장애인 뿐 아니라 일부 교통사고환자들도 재활운동교실을 통해 서비스를 받을 수 있다.",neutral
5757,한반도에 큰 피해를 줄 수 있는 강력한 지진이 일어날 가능성이 있다고 독일 언론이 보도했다.,보도에 따르면 강력한 지진이 일어날 가능성이 있다.,entailment
5758,"이준석 선장은 오늘 청해진해운 임원에 대한 재판에서 남탓만 했고, 야당은 장외투쟁에서 봉변만 당했습니다.",이준석 선장은 오늘 청해진해운 임원에 대한 재판에서 모두 자기탓이라고 했다.,contradiction
5759,하지만 브랜디드 콘텐츠를 이해하는 독자가 있는 반면 권익이 침해됐다고 느끼는 독자도 있었다.,권익이 침해됐다고 느끼는 독자는 없었다.,contradiction
5760,이런 영화를 또 다시 접하게 될줄이야,공포 영화를 또 다시 접하게 될줄이야.,neutral
5761,김우중 전 대우회장이 회고록을 통해 대우그룹의 해체에는 경제관료들의 정치적인 이해가 담겼다고 주장했습니다.,김우중은 과거에 대우회장이었습니다.,entailment
5762,그리고 학생들의 창업지원을 위해 창업교육센터를 설치하여 체계적인 창업교육을 실시하고 있다.,창업교육센터는 내년 1월부터 설치가 시작될 예정이다.,neutral
5763,조니뎁 안나오면 안볼것 같은 영화에요,조니뎁이 안 나와야지 영화를 볼거에요.,contradiction
5764,보통영화와 다른 특별한 분위기와 독특함에 반했다,보통영화와 차별화된 특별한 분위기와 독특함에 반했다.,entailment
5765,호스트분께서 빠른응답과 친철함에 감사드립니다,호스트분의 친절함에 글로 감사를 전합니다.,neutral
5766,그는 카페를 나와 옷을 빌리기 위해 무지개 옷 렌털 점에 간다.,그의 마음에 드는 옷이 없다.,neutral
5767,간단한 주방시설과 에어콘등 시설도 좋습니다.,실내 인테리어도 좋았습니다.,neutral
5768,레이놀즈가 이끄는 국가안보국으로부터 쫓기던 데니얼은 주인공의 쇼핑백에 디스켓 하나를 몰래 넣고서 황급히 사라진다.,국가안보국을 이끄는 이는 레이놀즈이다.,entailment
5769,차로 5분 이내의 거리에 큰 마트도 있습니다.,마트까지 차로 5분정도 걸립니다.,entailment
5770,미국 애니메이션 스타일을 재창조했다는 찬사를 듣고 있는 심슨 가족,심슨 가족은 전형적인 기존 미국 애니메이션 스타일이라는 평을 듣고 있다.,contradiction
5771,그 밖에 조선민주주의인민공화국은 포격 대신 해안 미사일 공격을 가할 수도 있다고 벡톨 교수는 밝혔습니다.,조선민주주의인민공화국은 해안 미사일 공격을 가할 수도 있다고 벡톨 교수는 밝혔다.,entailment
5772,숙소 침대는 눕자마자 잠드는게 가능합니다.,숙소에는 침대가 있습니다.,entailment
5773,내가 봤던 영화중에 가장 웃기지 않았던 영화다.,난 영화를 본 적이 있다.,entailment
5774,진흥원은 제작 과정에서 품질 관리뿐만 아니라 사후 관리에도 만전을 기할 계획이다.,진흥원은 제작 과정에서 사후관리에도 전력을 쏟아부을 것이다.,entailment
5775,"다만, 보험료 전액을 자신이 부담해야 하는 지역가입자의 반발 등을 고려해 직장가입자에게 먼저 적용하는 게 필요하다고 연금행동은 강조했다.",지역가입자는 종합건강보험에 한해서 보험료 전액을 부담한다.,neutral
5776,실제로 정세균 총리는 지난 7월 8일 오전 중앙재난안전대책본부 회의에서 해당 발언을 했다.,해당 발언을 한 것은 정은경 차관뿐이었다.,contradiction
5777,20대 초반때 이 영화를 봤을땐 그저 브리짓을 연기한 르네가 넘 사랑스러워서 좋았다.,이 영화를 다시 봤을 땐 르네의 다른 면모를 봤다.,neutral
5778,저는 남동생과 함께 지냈기때문에 괜찮았습니다.,남동생과 함께 지내서 나쁘지 않았습니다.,entailment
5779,파리 여행한다면 다시 여기로 올 생각입니다.,파리 여행을 계획하고 있어요.,neutral
5780,"코언은 영문학을 공부하다 1956년 시인으로 첫 등단하였고, 1963년 소설가로 등단하였다.",코언은 1963년 영문 소설책을 펴낸다.,neutral
5781,"바이오헬스산업 혁신전략은 바이오헬스산업을 비메모리 반도체, 미래형 자동차와 함께 우리나라 차세대 주력산업으로 육성하기 위한 전략이다.",우리나라는 차세대 주력산업을 육성하기 위해 천문학적인 금액을 쏟아붓고 있다.,neutral
5782,식약청은 해당 제품의 유통 판매를 잠정 중단하고 시중에 유통되고 있는 제품들을 수거해 검사를 실시하였다.,식약청은 해당 제품의 유통 판매를 지시했다.,contradiction
5783,와 마지막에 아버지우는거보고 너무슬펐어요,아버지가 우는 모습이 슬펐어요.,entailment
5784,아 진짜너무재밋다 한주에 한편하는게 아쉽다,한 주에 한 편 하는게 이해가 될만큼 별로다.,contradiction
5785,한편 크리스포드 씨는 광산 사업으로 성공한 억만장자 부자였다.,크리스포드 씨의 사업은 성공하지 못했다.,contradiction
5786,"그러나 미래한국당, 더불어시민당의 등장으로 대한민국 제20대 국회의원 선거와 같은 6석만을 얻어 교섭단체 지위를 얻지 못했다.",20대 국회의원 선거에서 6석을 얻었다.,entailment
5787,철학적인 이야기를 잔잔하게 잘풀어낸 수작,철학적 내용을 담은 수작.,entailment
5788,"액션러닝, 실전 마케팅 및 세일즈체험, 국내외 선진지 답사 등 팀원 간 협력이 필요한 체험 중심으로 프로그램이 구성됐다.","액션러닝, 실전 마케팅 및 세일즈체험, 국내외 선진지 답사 중 가장 인기가 많은 체험은 액션러닝이었다.",neutral
5789,"위치도 대박, 호스팅은 더 대박이었습니다.",위치 뿐만아니라 호스팅도 형편없었습니다.,contradiction
5790,"이 밖에도 벚꽃과 앵도나무 꽃, 자두나무 꽃, 옥매 등을 구별하는 방법도 담겼다.",벚꽃과 앵도나무 꽃은 구별할 수 없다.,contradiction
5791,주인아주머니의 섬세한 배려가 대박이었습니다.,주인아주머니는 전혀 신경쓰지 않았습니다.,contradiction
5792,사진보고 예상했던 공간보다 훨씬 방이 좋아요.,방이 사진보다 별로에요.,contradiction
5793,시제품 제작과 지적재산권 등록 등에 필요한 자금과 맞춤형 멘토링을 통해 창업을 지원하고 있다.,창업 지원을 위한 일괄적인 멘토링을 지원하고 있다.,contradiction
5794,청대 궁정회화는 강희제에서 옹정제를 거쳐 건륭제 시기에 가장 번성하였다.,건륭제 이후 청대 궁정회화는 급격히 쇠퇴했다.,neutral
5795,전체적으로 만족함 숙박을 하고 갑니다.,만족스러워서 다음에도 숙박을 할 예정입니다.,neutral
5796,"침대도 편하고 화장실, 욕실도 매우 깔끔해요.",욕실이 더럽지는 않았어요.,entailment
5797,서울중앙지법 정우석 판사는 6일 정모씨 등 17명이 한국전력공사를 상대로 낸 전기요금 부당이득 반환청구 소송에서 원고 패소 판결했다.,정모씨는 전기요금 부당이득 반환청구 소송을 제기했다.,entailment
5798,작가가 누군지 너무한심함 내용구성이 완전 아침막장 드라마임 정말 짱남,내용 구성이 완전 잔잔한 드라마임.,contradiction
5799,자신뿐만 아니라 남을 돕고자 하는 청년의 꿈과 열정에 모두가 주목하고 있다.,모두가 남을 돕고자하는 청년에 주목하고 있다.,entailment
5800,"우리나라는 2016년 12월 23일 흡연 경고그림 정책을 도입했으며, 2년에 한 번씩 경고그림과 문구를 교체한다.",우리나라는 흡연 경고 그림 정책을 도입했다.,entailment
5801,"또한, 자신은 아직 무력을 쓰지 않았다며 강경하게 시위를 진압하겠다는 자신의 뜻을 밝혔다.",시위를 강경하게 진압하겠다는 뜻을 밝힌 사람이 있다.,entailment
5802,또한 다른 사례에서도 기관 간의 협업을 이끌어 낸 협업인재들의 아이디어와 노력이 사업 성공에 핵심적인 역할을 했다.,다른 사례에서는 국토부와 환경부간의 협업을 이끌어냈다.,neutral
5803,부상 투혼 중인 최진혁과 신성록은 각각 뛰어난 외모와 예상치 못한 브로맨스로 또 다른 화제 몰이를 하고 있다.,최진혁은 신성록과 마찰이 있다.,neutral
5804,한편 이스라엘과 영유권 다툼을 벌이고 있는 팔레스타인은 이에 대해 규탄한다는 뜻을 내비치며 가자 지구 접경 일대에서 대규모 반대 시위를 진행하였다.,이스라엘과 팔레스타인은 영유권 다툼을 벌이고 있다.,entailment
5805,혼자나 둘이 머무르기에 최고의 컨디션이라고 생각합니다.,혼자나 둘이 머무르기에는 너무 불편합니다.,contradiction
5806,계획이 유출된 것을 계기로 김구는 염석진이 밀정임을 눈치채게 된다.,염석진이 밀정이다.,entailment
5807,하지만 문의를 하면 바로 답을 주십니다.,문의를 하면 빠르게 답을 받을 수 있습니다.,entailment
5808,"침대도 편하고 화장실, 욕실도 매우 깔끔해요.",편한 침대는 아니에요.,contradiction
5809,물 빵 주스 버터 각종 잼이 제공되었습니다.,각종 잼도 제공되었습니다.,entailment
5810,디카프리오의 연기를 보는 것만으로 영화는 재밌다,디카프리오의 부자 연기를 보는 것은 재밌다.,neutral
5811,청춘 시트콤의 표본이자 스타 등용문의 서막,청춘 시트콤의 표본이지만 스타가 될 수 없는 서막.,contradiction
5812,넓은 화장실이랑 침구의 느낌도 참좋았습니다.,침구가 부드럽습니다.,neutral
5813,재기발랄한 재미와 곳곳에 비치된 날카로운 비판이 돋보이는 교훈적인 10점짜리 애니,애니가 지루하고 0점짜리다.,contradiction
